iter	Passed	Remaining
1601	34554	30154
1602	34577	30133
1603	34599	30113
1604	34621	30091
1605	34645	30071
1606	34669	30052
1607	34690	30030
1608	34712	30009
1609	34733	29986
1610	34754	29964
1611	34776	29943
1612	34795	29920
1613	34817	29898
1614	34839	29877
1615	34860	29856
1616	34882	29834
1617	34904	29813
1618	34928	29793
1619	34954	29775
1620	34977	29755
1621	34998	29733
1622	35021	29713
1623	35045	29693
1624	35068	29673
1625	35092	29653
1626	35114	29632
1627	35136	29611
1628	35157	29589
1629	35180	29568
1630	35205	29550
1631	35228	29530
1632	35250	29508
1633	35272	29487
1634	35297	29468
1635	35327	29453
1636	35346	29430
1637	35367	29407
1638	35387	29385
1639	35408	29362
1640	35433	29344
1641	35466	29332
1642	35489	29311
1643	35507	29287
1644	35526	29263
1645	35545	29239
1646	35565	29217
1647	35585	29193
1648	35603	29168
1649	35623	29146
1650	35642	29123
1651	35663	29100
1652	35683	29077
1653	35703	29054
1654	35723	29031
1655	35745	29010
1656	35768	28990
1657	35790	28969
1658	35813	28948
1659	35833	28925
1660	35855	28904
1661	35882	28887
1662	35908	28869
1663	35939	28855
